LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
CKV34LU7V7,55,112656,92393,581,113,2,23.54,36,0.15,PhD,Self-employed,Single,Yes,Yes,Home,No,0
62KTYNH93J,56,91569,131575,641,54,1,15.19,12,0.43,High School,Part-time,Divorced,Yes,Yes,Education,Yes,0
JGFUSOIUH7,26,78169,75417,569,105,3,18.02,12,0.29,Master's,Part-time,Married,Yes,Yes,Education,Yes,0
4538THBHOX,26,63033,10804,326,118,1,14.71,24,0.41,High School,Part-time,Single,No,No,Business,Yes,0
DXLNA06JHR,24,29665,21182,662,102,3,15.02,60,0.69,PhD,Unemployed,Single,No,Yes,Business,Yes,0
GPXN95JGCL,41,98511,187008,731,20,4,14.88,36,0.46,Master's,Full-time,Divorced,Yes,No,Other,No,0
FIIMGYJEVG,66,49411,159105,371,86,4,13.35,60,0.12,Bachelor's,Self-employed,Married,No,No,Business,Yes,0
22OCHURLWV,34,117617,173967,518,86,4,2.21,12,0.39,High School,Part-time,Single,No,Yes,Business,Yes,0
OKUSLEJ0SG,67,94473,41189,542,15,2,10.17,36,0.33,Master's,Self-employed,Single,No,Yes,Home,No,0
CL8B73H82O,41,95332,151275,363,39,3,12.88,36,0.66,High School,Self-employed,Single,Yes,Yes,Home,Yes,0
0A53V82FCV,37,90591,178121,755,57,3,21.02,12,0.49,Master's,Self-employed,Married,Yes,No,Auto,Yes,0
73W1KO88LI,48,131410,109990,467,55,4,24.69,12,0.89,Bachelor's,Self-employed,Single,No,No,Other,No,0
X95AMWU96W,23,52502,166291,305,69,3,13.06,60,0.77,Master's,Unemployed,Single,No,Yes,Other,Yes,0
BOO3XLN9F7,21,86823,124620,477,89,3,5.13,12,0.23,Bachelor's,Part-time,Single,Yes,Yes,Business,No,0
GXJJ4UXSL1,19,127782,222878,813,50,1,6.87,24,0.21,High School,Unemployed,Single,No,No,Education,Yes,0
KV3JZ64DCS,53,72669,112337,634,84,2,11.85,24,0.68,PhD,Full-time,Married,No,Yes,Other,No,0
NGQNZVDUOK,56,133028,155502,467,89,1,12.27,60,0.12,PhD,Full-time,Single,No,Yes,Education,No,0
WIZOMSV4HO,27,143167,185872,582,6,4,18.21,60,0.15,PhD,Self-employed,Married,No,Yes,Home,Yes,0
QVZEH1C6K7,61,33989,116838,820,117,3,4.38,24,0.3,PhD,Part-time,Single,Yes,Yes,Other,Yes,0
0CVJM4QJVI,49,146315,134959,763,77,1,21.6,36,0.53,High School,Unemployed,Married,No,No,Other,No,1
NC87Q5CNJT,42,101292,194017,574,7,3,15.25,48,0.49,Bachelor's,Self-employed,Divorced,No,No,Education,No,0
E3EWQ2IAQ3,42,146855,169392,348,5,2,19.07,48,0.47,Bachelor's,Full-time,Single,No,No,Other,Yes,0
TBRII60XEA,22,91391,249316,810,88,4,20.1,24,0.1,High School,Self-employed,Divorced,No,No,Business,No,1
OJ5SXJX775,46,93632,189310,705,57,1,9.59,60,0.84,High School,Full-time,Single,No,No,Other,Yes,0
X4SDIQN7SL,52,92773,132178,356,63,4,21.33,12,0.72,Bachelor's,Self-employed,Single,Yes,No,Other,Yes,0
IS62IWZ0K2,23,41677,6855,845,58,4,18.95,48,0.16,High School,Self-employed,Married,No,No,Home,No,0
DGBMPK16J1,64,96991,245069,301,1,3,2.4,36,0.27,Bachelor's,Unemployed,Single,No,No,Business,No,0
EZC2U1ST79,36,43702,105519,383,93,2,15.45,60,0.17,Master's,Unemployed,Married,Yes,No,Other,Yes,0
V3CYLC1ILR,19,138815,147622,471,8,2,7.2,24,0.71,PhD,Full-time,Married,No,Yes,Education,No,0
L8XG2RCN4O,59,130006,241986,505,107,1,21.83,36,0.46,PhD,Unemployed,Divorced,No,Yes,Home,Yes,0
6Y3NBPH0VI,38,64603,146536,568,61,4,15.74,36,0.57,High School,Full-time,Single,Yes,No,Auto,Yes,0
ZOA1G1WTP7,43,117901,12250,574,49,4,2.63,24,0.41,High School,Unemployed,Divorced,Yes,Yes,Auto,Yes,0
XR6K0T7YWD,25,96657,45630,466,14,1,21.13,36,0.7,Master's,Self-employed,Married,Yes,Yes,Business,Yes,0
NSE8Y4HXPT,62,61310,247576,350,110,4,9.85,60,0.24,PhD,Full-time,Divorced,No,Yes,Business,No,0
5HUD0JCELJ,40,138821,185263,762,61,4,11.57,48,0.42,High School,Part-time,Single,Yes,No,Other,No,0
J274XQMRJD,41,43171,88784,370,101,2,8.46,60,0.32,High School,Self-employed,Married,No,No,Other,No,0
TJHF6X8VML,30,98485,175528,592,114,1,6.59,36,0.33,Bachelor's,Part-time,Married,No,No,Auto,No,0
STV3GYQORK,33,53407,167934,492,11,2,2.58,60,0.54,Master's,Self-employed,Married,Yes,No,Auto,No,0
ETCKTMPU4P,50,33717,67810,522,67,3,13.96,60,0.24,High School,Full-time,Divorced,Yes,Yes,Other,No,0
HR1LC4GOSN,67,45858,203775,606,95,2,15.03,48,0.49,Bachelor's,Full-time,Single,No,Yes,Business,No,0
SGB5Q20FGM,37,67353,51144,502,36,3,19.36,60,0.2,PhD,Part-time,Single,No,Yes,Auto,Yes,0
GL1WTGK7R0,65,111594,202913,817,46,1,21.81,24,0.48,Bachelor's,Part-time,Divorced,Yes,No,Home,No,0
3WRXVE3BK1,54,101925,89235,363,85,1,9.2,12,0.32,Master's,Self-employed,Single,Yes,No,Home,No,0
MAMFGMPWRZ,30,64349,160790,531,82,2,2.92,36,0.41,Bachelor's,Part-time,Married,Yes,Yes,Education,Yes,0
Y8ZEINVDNE,33,124899,14410,811,104,4,8.24,60,0.47,Master's,Self-employed,Married,No,Yes,Other,Yes,0
Z0ASQQ05HW,50,36135,185019,629,110,1,20.85,24,0.88,Master's,Self-employed,Divorced,Yes,Yes,Business,No,0
